user_id,purchase_id,debit_kind,is_trial,date_purchase,amt_payment,partner
12305,60426,Первичная покупка,0,2020-07-27,100,0
13742,61353,Первичная покупка,1,2020-11-13,0,0
11885,51069,Первичная покупка,1,2020-04-30,0,0
10246,50915,Первичная покупка,1,2020-01-26,0,0
11188,51490,Первичная покупка,1,2020-09-03,0,0
13595,61276,Первичная покупка,1,2020-03-14,0,0
10611,50379,Первичная покупка,1,2020-01-03,0,0
11676,51203,Первичная покупка,0,2020-01-04,100,0
12336,60328,Первичная покупка,0,2020-12-26,100,0
13405,61942,Первичная покупка,1,2020-09-13,0,0
13332,61025,Первичная покупка,1,2020-09-05,0,0
10203,50183,Первичная покупка,1,2020-10-18,0,0
10381,50551,Первичная покупка,0,2020-07-24,100,0
12827,60947,Первичная покупка,1,2020-10-01,0,0
11974,51783,Первичная покупка,1,2020-02-16,0,0
12641,60236,Первичная покупка,0,2020-05-10,100,0
13633,61631,Первичная покупка,1,2020-05-16,0,0
12984,60102,Первичная покупка,1,2020-09-11,0,0
13372,61290,Первичная покупка,1,2020-10-15,0,0
10353,50549,Первичная покупка,1,2020-12-29,0,0
13865,61635,Первичная покупка,1,2020-11-24,0,0
12871,60904,Первичная покупка,1,2020-02-05,0,0
10963,50059,Первичная покупка,1,2020-09-17,0,0
10653,50158,Первичная покупка,1,2020-12-28,0,0
13096,61630,Первичная покупка,0,2020-11-18,100,0
11183,51370,Первичная покупка,1,2020-07-31,0,0
12921,60767,Первичная покупка,1,2020-07-05,0,0
13837,61871,Первичная покупка,1,2020-08-02,0,0
11379,51641,Первичная покупка,1,2020-10-01,0,0
12158,60760,Первичная покупка,1,2020-01-16,0,0
11957,51254,Первичная покупка,1,2020-08-07,0,0
11419,51517,Первичная покупка,1,2020-09-18,0,0
13733,61850,Первичная покупка,1,2020-07-28,0,0
12761,60118,Первичная покупка,1,2020-05-28,0,0
10616,50432,Первичная покупка,1,2020-12-09,0,0
11821,51299,Первичная покупка,1,2020-09-15,0,0
12463,60674,Первичная покупка,1,2020-09-07,0,0
11724,51362,Первичная покупка,0,2020-07-28,100,0
13628,61679,Первичная покупка,1,2020-10-23,0,0
10311,50289,Первичная покупка,1,2020-05-19,0,0
13473,61329,Первичная покупка,1,2020-09-28,0,0
13006,61514,Первичная покупка,1,2020-01-28,0,0
10649,50604,Первичная покупка,0,2020-03-14,100,0
13283,61663,Первичная покупка,0,2020-02-28,100,0
12464,60691,Первичная покупка,1,2020-07-12,0,0
10257,50480,Первичная покупка,1,2020-08-02,0,0
10177,50747,Первичная покупка,1,2020-05-03,0,0
13449,61688,Первичная покупка,1,2020-05-02,0,0
13432,61217,Первичная покупка,0,2020-08-05,100,0
12530,60140,Первичная покупка,1,2020-10-17,0,0
12781,60650,Первичная покупка,1,2020-02-26,0,0
10639,50577,Первичная покупка,1,2020-10-23,0,0
11973,51495,Первичная покупка,1,2020-02-02,0,0
12407,60731,Первичная покупка,1,2020-07-12,0,0
12624,60205,Первичная покупка,1,2020-10-24,0,0
11063,51872,Первичная покупка,0,2020-07-08,100,0
11305,51426,Первичная покупка,1,2020-05-01,0,0
10950,50146,Первичная покупка,1,2020-04-27,0,0
12789,60685,Первичная покупка,0,2020-12-30,100,0
10092,50606,Первичная покупка,1,2020-08-07,0,0
13810,61162,Первичная покупка,1,2020-07-22,0,0
13722,61413,Первичная покупка,1,2020-06-27,0,0
11047,51913,Первичная покупка,1,2020-12-07,0,0
11778,51921,Первичная покупка,1,2020-12-28,0,0
11454,51525,Первичная покупка,1,2020-02-19,0,0
12836,60699,Первичная покупка,1,2020-04-24,0,0
10594,50209,Первичная покупка,1,2020-09-18,0,0
13196,61136,Первичная покупка,1,2020-05-11,0,0
12538,60487,Первичная покупка,1,2020-09-30,0,0
13250,61476,Первичная покупка,1,2020-07-17,0,0
13431,61817,Первичная покупка,1,2020-11-23,0,0
13871,61904,Первичная покупка,0,2020-03-02,100,0
10140,50775,Первичная покупка,1,2020-01-30,0,0
12123,60295,Первичная покупка,1,2020-09-28,0,0
13212,61740,Первичная покупка,1,2020-02-14,0,0
13947,61214,Первичная покупка,1,2020-03-19,0,0
12951,60336,Первичная покупка,0,2020-12-30,100,0
11315,51576,Первичная покупка,1,2020-07-24,0,0
10296,50818,Первичная покупка,0,2020-04-24,100,0
13927,61985,Первичная покупка,1,2020-10-21,0,0
13640,61765,Первичная покупка,1,2020-04-01,0,0
13955,61116,Первичная покупка,1,2020-06-29,0,0
10789,50685,Первичная покупка,1,2020-08-11,0,0
13207,61318,Первичная покупка,1,2020-07-06,0,0
10477,50465,Первичная покупка,0,2020-04-19,100,0
12169,60479,Первичная покупка,0,2020-04-09,100,0
13549,61781,Первичная покупка,0,2020-02-15,100,0
12014,60933,Первичная покупка,1,2020-04-26,0,0
12576,60911,Первичная покупка,1,2020-07-02,0,0
12558,60811,Первичная покупка,0,2020-07-31,100,0
11281,51967,Первичная покупка,1,2020-10-06,0,0
11721,51786,Первичная покупка,1,2020-10-20,0,0
10473,50329,Первичная покупка,1,2020-01-06,0,0
13357,61344,Первичная покупка,1,2020-04-12,0,0
10100,50109,Первичная покупка,1,2020-04-28,0,0
12812,60875,Первичная покупка,1,2020-11-07,0,0
12816,60868,Первичная покупка,1,2020-05-02,0,0
11768,51168,Первичная покупка,0,2020-07-17,100,0
13440,61829,Первичная покупка,1,2020-06-14,0,0
13832,61586,Первичная покупка,0,2020-09-02,100,0
12388,60028,Первичная покупка,0,2020-02-22,100,0
10749,50660,Первичная покупка,0,2020-06-16,100,0
13774,61076,Первичная покупка,0,2020-12-01,100,0
13270,61572,Первичная покупка,1,2020-04-14,0,0
12185,60618,Первичная покупка,1,2020-06-08,0,0
13189,61372,Первичная покупка,1,2020-08-11,0,0
11367,51670,Первичная покупка,1,2020-01-25,0,0
10269,50523,Первичная покупка,1,2020-06-26,0,0
10658,50219,Первичная покупка,0,2020-09-26,100,0
12131,60826,Первичная покупка,0,2020-05-06,100,0
10802,50180,Первичная покупка,1,2020-07-06,0,0
12975,60863,Первичная покупка,0,2020-05-19,100,0
13130,61434,Первичная покупка,1,2020-11-24,0,0
12082,60575,Первичная покупка,0,2020-10-19,100,0
13938,61761,Первичная покупка,1,2020-02-26,0,0
13861,61721,Первичная покупка,0,2020-07-15,100,0
13334,61016,Первичная покупка,1,2020-09-02,0,0
10826,50272,Первичная покупка,1,2020-12-20,0,0
11259,51384,Первичная покупка,1,2020-07-07,0,0
13978,61799,Первичная покупка,1,2020-06-27,0,0
10866,50914,Первичная покупка,1,2020-01-21,0,0
10942,50581,Первичная покупка,1,2020-08-19,0,0
10670,50060,Первичная покупка,1,2020-11-05,0,0
10074,50791,Первичная покупка,1,2020-06-04,0,0
10744,50568,Первичная покупка,1,2020-12-09,0,0
10430,50179,Первичная покупка,1,2020-08-10,0,0
10284,50086,Первичная покупка,0,2020-02-06,100,0
11769,51255,Первичная покупка,1,2020-01-23,0,0
13879,61754,Первичная покупка,1,2020-07-09,0,0
11827,51947,Первичная покупка,1,2020-07-24,0,0
10931,50425,Первичная покупка,1,2020-11-16,0,0
12354,60878,Первичная покупка,0,2020-02-01,100,0
13378,61197,Первичная покупка,1,2020-01-10,0,0
12232,60574,Первичная покупка,1,2020-12-13,0,0
13436,61700,Первичная покупка,0,2020-04-29,100,0
12850,60006,Первичная покупка,1,2020-08-08,0,0
10171,50676,Первичная покупка,1,2020-02-13,0,0
10562,50235,Первичная покупка,1,2020-10-09,0,0
10808,50662,Первичная покупка,1,2020-06-26,0,0
11326,51419,Первичная покупка,1,2020-11-09,0,0
12895,60088,Первичная покупка,1,2020-10-05,0,0
13481,61024,Первичная покупка,1,2020-02-22,0,0
12157,60044,Первичная покупка,1,2020-09-11,0,0
10785,50055,Первичная покупка,0,2020-05-01,100,0
10987,50873,Первичная покупка,1,2020-04-04,0,0
11553,51833,Первичная покупка,1,2020-03-06,0,0
10735,50531,Первичная покупка,1,2020-09-21,0,0
12524,60005,Первичная покупка,1,2020-08-26,0,0
10047,50913,Первичная покупка,1,2020-02-23,0,0
10920,50788,Первичная покупка,1,2020-05-07,0,0
10868,50928,Первичная покупка,0,2020-01-25,100,0
12300,60990,Первичная покупка,1,2020-08-22,0,0
13476,61912,Первичная покупка,1,2020-04-16,0,0
12554,60242,Первичная покупка,1,2020-07-22,0,0
11268,51846,Первичная покупка,1,2020-11-15,0,0
13875,61628,Первичная покупка,1,2020-11-05,0,0
10613,50448,Первичная покупка,1,2020-04-24,0,0
10126,50373,Первичная покупка,1,2020-05-30,0,0
13903,61343,Первичная покупка,0,2020-04-23,100,0
13710,61704,Первичная покупка,1,2020-12-17,0,0
12204,60008,Первичная покупка,1,2020-06-18,0,0
10941,50216,Первичная покупка,1,2020-12-24,0,0
11971,51293,Первичная покупка,1,2020-06-30,0,0
12986,60615,Первичная покупка,0,2020-07-13,100,0
13007,61975,Первичная покупка,1,2020-09-29,0,0
12146,60527,Первичная покупка,1,2020-02-22,0,0
13506,61973,Первичная покупка,1,2020-09-26,0,0
10952,50561,Первичная покупка,1,2020-03-02,0,0
10401,50234,Первичная покупка,0,2020-02-10,100,0
13213,61804,Первичная покупка,1,2020-08-05,0,0
11008,51084,Первичная покупка,1,2020-03-01,0,0
11546,51949,Первичная покупка,1,2020-02-27,0,0
12793,60813,Первичная покупка,0,2020-07-16,100,0
13292,61806,Первичная покупка,1,2020-07-17,0,0
11447,51270,Первичная покупка,1,2020-05-31,0,0
10109,50657,Первичная покупка,1,2020-07-23,0,0
12757,60054,Первичная покупка,1,2020-12-21,0,0
13996,61427,Первичная покупка,1,2020-07-14,0,0
12559,60325,Первичная покупка,1,2020-06-24,0,0
12753,60497,Первичная покупка,1,2020-01-18,0,0
11220,51403,Первичная покупка,0,2020-08-23,100,0
12901,60891,Первичная покупка,1,2020-05-13,0,0
10519,50123,Первичная покупка,1,2020-12-07,0,0
11914,51944,Первичная покупка,1,2020-05-29,0,0
11164,51273,Первичная покупка,1,2020-05-08,0,0
12308,60015,Первичная покупка,1,2020-03-20,0,0
12053,60457,Первичная покупка,0,2020-11-18,100,0
10632,50147,Первичная покупка,0,2020-01-26,100,0
12659,60208,Первичная покупка,1,2020-02-24,0,0
12725,60478,Первичная покупка,1,2020-07-27,0,0
13385,61090,Первичная покупка,1,2020-09-27,0,0
13366,61496,Первичная покупка,1,2020-07-19,0,0
13945,61386,Первичная покупка,1,2020-12-05,0,0
